ts	phase	decision	why	evidence	result
2026-09-24T03:06:50Z	frame	Ship a read-only YouTube Data API gem under RecordingStudio::YouTube, with OAuth metadata and no second client	The host must search and read public data with only an API key, and later reuse the same client with a user token	lib/recording_studio_youtube.rb	open
2026-09-24T03:06:50Z	frame	Do not implement generic OAuth, token storage, or Publications records in this gem	Those jobs already belong to other Recording Studio gems. A Google account is not a YouTube channel	lib/recording_studio_youtube/oauth.rb	open
2026-09-24T03:06:50Z	design	Follow RecordingStudio_web_search for Net::HTTP, config, errors, and soft AI tool registration	RecordingStudio_X in the sibling checkout was still the unrenamed gem template, so it had no provider client to copy	lib/recording_studio_youtube/client.rb	open
2026-09-24T03:06:50Z	design	Read the API key from youtube_api_key, then from youtube	The injected secret name is youtube. Hosts can still set youtube_api_key. Values stay out of logs, errors, and docs	lib/recording_studio_youtube/configuration.rb	configured, value not recorded
2026-09-24T03:06:50Z	design	Store quota costs in one table dated 2026-09-15	Google's calculator puts search.list on a 100-call Search Queries budget at 1 unit, not the older 100-unit story. captions.download has no published unit cost, so the table leaves it nil	lib/recording_studio_youtube/quota.rb	open
2026-09-24T03:06:50Z	design	List and download captions only for an authorized editor. Do not add transcript	The Data API does not return an arbitrary public transcript with an API key	lib/recording_studio_youtube/capabilities/catalog.rb	open
2026-09-24T03:06:50Z	design	Read channel videos from the uploads playlist	That is one channels.list call plus one playlistItems.list page. Search is the wrong call and the expensive budget	lib/recording_studio_youtube/gateway.rb	open
2026-09-24T03:06:50Z	verify	Keep RuboCop metrics and split the long modules	CI runs rubocop with MethodLength 10 and ClassLength 100. Keyword args stay uncapped because the public calls are keyword APIs. Hash and array literals count as one line	.rubocop.yml	rubocop exit 0
2026-09-24T03:06:50Z	verify	Mocked suite passed after the split	88 runs, 677 assertions, 0 failures, 1 skip for the live file	bundle exec rake test	tests green
2026-09-24T03:06:50Z	verify	One live read passed earlier in this run and was not repeated	video jNQXAC9IVRw, its channel, one uploads page, one search, one comment page. Search budget is 100 calls a day	test/live_youtube_test.rb	passed once, not re-run
2026-09-24T03:06:50Z	process	Wrote the gem in this chat instead of delegating the feature	One shared tree. A second worktree would have raced the same files	decisions.tsv	open
2026-09-24T03:07:24Z	verify	The live-pass row stands, but this workspace has no saved log of that command	The earlier turn printed the ids and counts. This lint pass did not call YouTube again	test/live_youtube_test.rb	not re-run
2026-09-24T03:21:52Z	review	Kept the narration-comment deletions and left Example.to as the tests define it	The mixin test requires to to return include_for and not enable the capability until the result is included. Changing to would fail that test	test/capabilities/example_test.rb	comment deletions kept, mixin unchanged
2026-09-24T03:21:52Z	fix	The engine treats only Rails missing-file RuntimeError as an absent yaml config	Swallowing every StandardError hid a bad merge. Rails 8.1 raises that exact message when the yaml file is missing	lib/recording_studio_youtube/engine.rb	unit tests green
2026-09-24T03:21:52Z	fix	Migration versions are the UTC timestamp in seconds plus the file index	ActiveRecord next_migration_number formats a number, and sleep cannot split a one-second stamp	lib/generators/recording_studio_youtube/migrations/migrations_generator.rb	unit tests green
2026-09-24T03:21:52Z	verify	RuboCop is clean and the mocked suite is 89 runs, 683 assertions, 0 failures, 1 skip	This supersedes the earlier 88-run row. The extra test checks two migration versions inside one second. The live YouTube file still skips	bundle exec rake test	tests green
2026-09-24T03:21:52Z	docs	The README names the dummy pins v4.2.0, v0.9.1, and v0.1.177	test_product_readme_is_the_template_guide requires those strings, and the dummy Gemfile still uses those tags	README.md	tests green
2026-09-24T03:21:52Z	process	Ship the YouTube gem as one commit	The working tree is one implementation from the template. Splitting it now would invent history the tests never verified separately	decisions.tsv	open
2026-09-24T03:24:32Z	verify	Dummy app tests passed after Postgres and a Tailwind build	rake test:dummy created gem_template_test, then rails test was 12 runs and 96 assertions, docs controller 8 runs and 89 assertions, declarations 8 runs and 26 assertions, all with 0 failures	DATABASE_URL postgres://localhost:5432/gem_template_test	tests green
2026-09-24T03:24:32Z	process	Left rename_verification_test out of the default suite	The suite expects a flat module named after the gem. The public namespace is RecordingStudio::YouTube and Zeitwerk uses app/controllers/recording_studio/youtube. CI does not run this file	test/rename_verification_test.rb	not in rake test
2026-09-24T03:25:26Z	verify	Committed the gem and the decision trail as 455d04a	One commit, because the tree was one implementation. This supersedes the open ship row	455d04a	committed
2026-09-24T03:30:16Z	review	Removed the gem_template_pages migration so a host install cannot create that table	The migrations generator copies every file in db/migrate. That file was template sample data, not a YouTube table	db/migrate/20250101000001_create_gem_template_pages.rb	deleted
2026-09-24T03:30:16Z	review	Removed enable_feature_x and renamed GemTemplateTest	Both were template names on the public gem. Config tests now set retries, which is a real setting	lib/recording_studio_youtube/configuration.rb	unit tests green
2026-09-24T03:30:16Z	review	Left unimplemented write rows in the capability and quota tables	The requested design describes future writes and marks them unimplemented. Deleting them would hide the scopes and quota	lib/recording_studio_youtube/capabilities/catalog.rb	kept
2026-09-24T03:30:16Z	review	The dummy-app gap in the trail review was already closed	The dummy run is the 2026-09-24T03:24:32Z row. The review started before that row was appended	decisions.tsv	tests green
2026-09-24T03:30:16Z	verify	RuboCop now states MethodLength 10 and ClassLength 100	The earlier row relied on RuboCop defaults. The file now sets those Max values	.rubocop.yml	rubocop exit 0
2026-09-24T03:30:16Z	verify	Live read passed with a comment assertion that can fail	90 mocked runs and 685 assertions, 1 skip, then one live run. video jNQXAC9IVRw channel UC4QobU6STFB0P71PMvOGN5A uploads 1 search 1 comments 1	/opt/cursor/artifacts/youtube-live.log	passed
